,epoch,train/eval,batch_size,loss,acc
0,0,train,32,21.850160598754883,
0,0,train,32,21.708847045898438,
0,0,train,32,21.622743606567383,
0,0,train,32,21.792724609375,
0,0,train,32,21.338518142700195,
0,0,train,32,21.77260971069336,
0,0,train,32,21.822345733642578,
0,0,train,32,21.369352340698242,
0,0,train,32,22.112770080566406,
0,0,train,32,21.847942352294922,
0,0,train,32,22.054330825805664,
0,0,train,32,21.492977142333984,
0,0,train,32,21.72423553466797,
0,0,train,32,21.5721435546875,
0,0,train,32,21.757877349853516,
0,0,train,32,21.816694259643555,
0,0,train,32,21.432615280151367,
0,0,train,32,22.042163848876953,
0,0,train,32,21.620222091674805,
0,0,train,32,21.57518768310547,
0,0,train,32,21.573287963867188,
0,0,train,32,21.747806549072266,
0,0,train,32,21.515121459960938,
0,0,train,32,21.882164001464844,
0,0,train,32,21.349878311157227,
0,0,train,32,21.837135314941406,
0,0,train,32,21.648433685302734,
0,0,train,32,21.818866729736328,
0,0,train,32,21.59104347229004,
0,0,train,32,22.11299705505371,
0,0,train,32,21.768142700195312,
0,0,train,32,21.85580825805664,
0,0,train,32,21.57537078857422,
0,0,train,32,21.72509765625,
0,0,train,32,21.530925750732422,
0,0,train,32,21.95726776123047,
0,0,train,32,21.557077407836914,
0,0,train,32,21.829364776611328,
0,0,train,32,21.675048828125,
0,0,train,32,21.736736297607422,
0,0,train,32,21.554698944091797,
0,0,train,32,22.054519653320312,
0,0,train,32,21.97315216064453,
0,0,train,32,21.75470542907715,
0,0,train,32,21.69120979309082,
0,0,train,32,21.922475814819336,
0,0,train,32,21.5119686126709,
0,0,train,32,21.639070510864258,
0,0,train,32,21.722332000732422,
0,0,train,32,21.642288208007812,
0,0,train,32,21.862327575683594,
0,0,train,32,21.72654914855957,
0,0,train,32,21.381404876708984,
0,0,train,32,21.888931274414062,
0,0,train,32,21.524478912353516,
0,0,train,32,21.851913452148438,
0,0,train,32,21.574188232421875,
0,0,train,32,21.43680191040039,
0,0,train,32,21.827255249023438,
0,0,train,32,21.789859771728516,
0,0,train,32,21.93769645690918,
0,0,train,32,21.60352897644043,
0,0,train,32,21.656171798706055,
0,0,train,32,21.987167358398438,
0,0,train,32,21.697433471679688,
0,0,train,32,21.59711265563965,
0,0,train,32,21.479263305664062,
0,0,train,32,21.480602264404297,
0,0,train,32,21.762432098388672,
0,0,train,32,21.70639419555664,
0,0,train,32,21.909263610839844,
0,0,train,32,21.752933502197266,
0,0,train,32,21.414627075195312,
0,0,train,32,21.795164108276367,
0,0,train,32,21.355297088623047,
0,0,train,32,21.758621215820312,
0,0,train,32,21.76976776123047,
0,0,train,32,21.815574645996094,
0,0,train,32,21.714271545410156,
0,0,train,32,21.84381103515625,
0,0,train,32,21.703327178955078,
0,0,train,32,21.51306915283203,
0,0,train,32,21.496807098388672,
0,0,train,32,21.77153205871582,
0,0,train,32,21.66577911376953,
0,0,train,32,21.60196304321289,
0,0,train,32,21.804397583007812,
0,0,train,32,21.79551124572754,
0,0,train,32,22.007274627685547,
0,0,train,32,21.669231414794922,
0,0,train,32,21.613975524902344,
0,0,train,32,21.592700958251953,
0,0,train,32,21.802410125732422,
0,0,train,32,21.9748592376709,
0,0,train,32,21.420734405517578,
0,0,train,32,21.680543899536133,
0,0,train,32,21.734405517578125,
0,0,train,32,21.538043975830078,
0,0,train,32,21.74826431274414,
0,0,train,32,21.878496170043945,
0,0,train,32,21.44736099243164,
0,0,train,32,21.89868927001953,
0,0,train,32,21.516714096069336,
0,0,train,32,21.796573638916016,
0,0,train,32,21.823381423950195,
0,0,train,32,21.129579544067383,
0,0,train,32,21.68936538696289,
0,0,train,32,21.499187469482422,
0,0,train,32,21.69796371459961,
0,0,train,32,21.552322387695312,
0,0,train,32,21.8414249420166,
0,0,train,32,21.437044143676758,
0,0,train,32,21.454975128173828,
0,0,train,32,21.956207275390625,
0,0,train,32,21.45604705810547,
0,0,train,32,21.695842742919922,
0,0,train,32,21.762466430664062,
0,0,train,32,21.46883773803711,
0,0,train,32,21.401765823364258,
0,0,train,32,21.533222198486328,
0,0,train,32,21.756690979003906,
0,0,train,32,21.537555694580078,
0,0,train,32,21.454345703125,
0,0,train,32,21.782299041748047,
0,0,train,32,21.766307830810547,
0,0,train,32,21.593284606933594,
0,0,train,32,21.67682647705078,
0,0,train,32,21.5191707611084,
0,0,train,32,21.327831268310547,
0,0,train,32,21.995201110839844,
0,0,train,32,21.557167053222656,
0,0,train,32,21.846031188964844,
0,0,train,32,21.7242488861084,
0,0,train,32,21.494672775268555,
0,0,train,32,21.54354476928711,
0,0,train,32,21.634733200073242,
0,0,train,32,21.751815795898438,
0,0,train,32,21.688396453857422,
0,0,train,32,21.652843475341797,
0,0,train,32,21.440093994140625,
0,0,train,32,21.376934051513672,
0,0,train,32,21.338279724121094,
0,0,train,32,21.417282104492188,
0,0,train,32,21.314538955688477,
0,0,train,32,22.176044464111328,
0,0,train,32,21.735862731933594,
0,0,train,32,21.48504638671875,
0,0,train,32,21.636594772338867,
0,0,train,32,21.47359275817871,
0,0,train,32,21.638160705566406,
0,0,train,32,21.513626098632812,
0,0,train,32,21.405879974365234,
0,0,train,32,21.410982131958008,
0,0,train,32,21.69736099243164,
0,0,train,32,21.55155372619629,
0,0,train,32,21.604385375976562,
0,0,train,32,21.399070739746094,
0,0,train,32,21.575305938720703,
0,0,train,32,21.667818069458008,
0,0,train,32,21.773958206176758,
0,0,train,32,21.739389419555664,
0,0,train,32,21.65177345275879,
0,0,train,32,21.639034271240234,
0,0,train,32,21.46320915222168,
0,0,train,32,21.714881896972656,
0,0,train,32,21.692073822021484,
0,0,train,32,21.49087142944336,
0,0,train,32,21.65082550048828,
0,0,train,32,21.887331008911133,
0,0,train,32,21.662841796875,
0,0,train,32,21.76502227783203,
0,0,train,32,21.535858154296875,
0,0,train,32,21.606834411621094,
0,0,train,32,21.578723907470703,
0,0,train,32,21.5992431640625,
0,0,train,32,21.74601173400879,
0,0,train,32,21.650667190551758,
0,0,train,32,21.632265090942383,
